,n1_field,n1_energy,n2_field,n2_energy
0,-180.0,-3.726423454190751e-24,-180.0,-4.0675362467726624e-24
1,-179.8198198198198,-3.720078974085105e-24,-179.8198198198198,-4.060834384997915e-24
2,-179.63963963963963,-3.713737168687738e-24,-179.63963963963963,-4.054132395022531e-24
3,-179.45945945945945,-3.707398050981938e-24,-179.45945945945945,-4.0474303853441694e-24
4,-179.27927927927928,-3.701061633812191e-24,-179.27927927927928,-4.0407284596107744e-24
5,-179.09909909909908,-3.694727929888694e-24,-179.09909909909908,-4.034026716930438e-24
6,-178.9189189189189,-3.688396951789801e-24,-178.9189189189189,-4.027325252156996e-24
7,-178.73873873873873,-3.6820687119658775e-24,-178.73873873873873,-4.0206241561530596e-24
8,-178.55855855855856,-3.675743222742311e-24,-178.55855855855856,-4.013923516033104e-24
9,-178.37837837837836,-3.6694204963228025e-24,-178.37837837837836,-4.007223415387378e-24
10,-178.19819819819818,-3.663100544791903e-24,-178.19819819819818,-4.00052393449011e-24
11,-178.018018018018,-3.656783380118497e-24,-178.018018018018,-3.993825150491721e-24
12,-177.83783783783784,-3.650469014158526e-24,-177.83783783783784,-3.987127137597313e-24
13,-177.65765765765764,-3.644157458657529e-24,-177.65765765765764,-3.980429967232369e-24
14,-177.47747747747746,-3.6378487252532774e-24,-177.47747747747746,-3.973733708197068e-24
15,-177.2972972972973,-3.6315428254785925e-24,-177.2972972972973,-3.9670384268093214e-24
16,-177.11711711711712,-3.6252397707638875e-24,-177.11711711711712,-3.9603441870389684e-24
17,-176.93693693693692,-3.618939572439141e-24,-176.93693693693692,-3.953651050631718e-24
18,-176.75675675675674,-3.6126422417372836e-24,-176.75675675675674,-3.946959077225946e-24
19,-176.57657657657657,-3.606347789794948e-24,-176.57657657657657,-3.940268324461407e-24
20,-176.3963963963964,-3.6000562276563275e-24,-176.3963963963964,-3.933578848080702e-24
21,-176.2162162162162,-3.593767566274114e-24,-176.2162162162162,-3.926890702024916e-24
22,-176.03603603603602,-3.587481816512696e-24,-176.03603603603602,-3.92020393852239e-24
23,-175.85585585585585,-3.581198989149194e-24,-175.85585585585585,-3.9135186081726086e-24
24,-175.67567567567568,-3.574919094875811e-24,-175.67567567567568,-3.906834760024719e-24
25,-175.49549549549548,-3.568642144302183e-24,-175.49549549549548,-3.900152441651542e-24
26,-175.3153153153153,-3.562368147956883e-24,-175.3153153153153,-3.893471699218878e-24
27,-175.13513513513513,-3.5560971162892096e-24,-175.13513513513513,-3.886792577550396e-24
28,-174.95495495495496,-3.549829059671161e-24,-174.95495495495496,-3.880115120190074e-24
29,-174.77477477477476,-3.543563988399033e-24,-174.77477477477476,-3.873439369459094e-24
30,-174.59459459459458,-3.5373019126954895e-24,-174.59459459459458,-3.866765366511514e-24
31,-174.4144144144144,-3.531042842710406e-24,-174.4144144144144,-3.860093151385046e-24
32,-174.23423423423424,-3.524786788523506e-24,-174.23423423423424,-3.853422763050245e-24
33,-174.05405405405403,-3.518533760144923e-24,-174.05405405405403,-3.846754239456487e-24
34,-173.87387387387386,-3.512283767517647e-24,-173.87387387387386,-3.8400876175755155e-24
35,-173.6936936936937,-3.5060368205181806e-24,-173.6936936936937,-3.833422933442814e-24
36,-173.51351351351352,-3.499792928958705e-24,-173.51351351351352,-3.826760222196449e-24
37,-173.33333333333331,-3.49355210258783e-24,-173.33333333333331,-3.8200995181142105e-24
38,-173.15315315315314,-3.487314351092475e-24,-173.15315315315314,-3.8134408546486e-24
39,-172.97297297297297,-3.4810796840989986e-24,-172.97297297297297,-3.80678426446021e-24
40,-172.7927927927928,-3.47484811117442e-24,-172.7927927927928,-3.8001297794494185e-24
41,-172.6126126126126,-3.468619641828113e-24,-172.6126126126126,-3.793477430786104e-24
42,-172.43243243243242,-3.462394285511991e-24,-172.43243243243242,-3.786827248938704e-24
43,-172.25225225225225,-3.456172051623428e-24,-172.25225225225225,-3.7801792637006395e-24
44,-172.07207207207207,-3.4499529495045936e-24,-172.07207207207207,-3.773533504216742e-24
45,-171.89189189189187,-3.443736988445091e-24,-171.89189189189187,-3.766889999007607e-24
46,-171.7117117117117,-3.437524177681954e-24,-171.7117117117117,-3.7602487759930124e-24
47,-171.53153153153153,-3.431314526401531e-24,-171.53153153153153,-3.753609862514205e-24
48,-171.35135135135135,-3.425108043740234e-24,-171.35135135135135,-3.746973285355152e-24
49,-171.17117117117115,-3.418904738785668e-24,-171.17117117117115,-3.7403390707628555e-24
50,-170.99099099099098,-3.4127046205774796e-24,-170.99099099099098,-3.7337072444669125e-24
51,-170.8108108108108,-3.406507698108294e-24,-170.8108108108108,-3.727077831697475e-24
52,-170.63063063063063,-3.400313980325316e-24,-170.63063063063063,-3.720450857203684e-24
53,-170.45045045045043,-3.394123476130424e-24,-170.45045045045043,-3.713826345269653e-24
54,-170.27027027027026,-3.387936194381578e-24,-170.27027027027026,-3.707204319731399e-24
55,-170.0900900900901,-3.381752143893858e-24,-170.0900900900901,-3.700584803991886e-24
56,-169.9099099099099,-3.3755713334396485e-24,-169.9099099099099,-3.693967821035789e-24
57,-169.7297297297297,-3.369393771750522e-24,-169.7297297297297,-3.687353393443698e-24
58,-169.54954954954954,-3.363219467517238e-24,-169.54954954954954,-3.680741543405748e-24
59,-169.36936936936937,-3.357048429390775e-24,-169.36936936936937,-3.674132292734412e-24
60,-169.1891891891892,-3.350880665983559e-24,-169.1891891891892,-3.667525662877196e-24
61,-169.009009009009,-3.344716185869644e-24,-169.009009009009,-3.660921674928205e-24
62,-168.82882882882882,-3.338554997585753e-24,-168.82882882882882,-3.654320349639804e-24
63,-168.64864864864865,-3.3323971096323085e-24,-168.64864864864865,-3.647721707433716e-24
64,-168.46846846846847,-3.326242530473528e-24,-168.46846846846847,-3.641125768411365e-24
65,-168.28828828828827,-3.320091268538741e-24,-168.28828828828827,-3.6345325523639364e-24
66,-168.1081081081081,-3.313943332222858e-24,-168.1081081081081,-3.6279420787823504e-24
67,-167.92792792792793,-3.3077987298871224e-24,-167.92792792792793,-3.621354366866285e-24
68,-167.74774774774775,-3.301657469859395e-24,-167.74774774774775,-3.614769435533676e-24
69,-167.56756756756755,-3.2955195604355627e-24,-167.56756756756755,-3.6081873034286165e-24
70,-167.38738738738738,-3.2893850098796328e-24,-167.38738738738738,-3.601607988930195e-24
71,-167.2072072072072,-3.2832538264242034e-24,-167.2072072072072,-3.595031510160398e-24
72,-167.02702702702703,-3.2771260182718742e-24,-167.02702702702703,-3.58845788499191e-24
73,-166.84684684684683,-3.271001593594964e-24,-166.84684684684683,-3.581887131054985e-24
74,-166.66666666666666,-3.2648805605366395e-24,-166.66666666666666,-3.57531926574534e-24
75,-166.48648648648648,-3.258762927211573e-24,-166.48648648648648,-3.568754306230458e-24
76,-166.3063063063063,-3.2526487017056614e-24,-166.3063063063063,-3.562192269456643e-24
77,-166.1261261261261,-3.2465378920779056e-24,-166.1261261261261,-3.555633172154847e-24
78,-165.94594594594594,-3.2404305063598474e-24,-165.94594594594594,-3.549077030847536e-24
79,-165.76576576576576,-3.234326552556509e-24,-165.76576576576576,-3.542523861853957e-24
80,-165.5855855855856,-3.2282260386471466e-24,-165.5855855855856,-3.535973681296532e-24
81,-165.4054054054054,-3.2221289725852485e-24,-165.4054054054054,-3.529426505105843e-24
82,-165.22522522522522,-3.2160353622998535e-24,-165.22522522522522,-3.5228823490261795e-24
83,-165.04504504504504,-3.2099452156947033e-24,-165.04504504504504,-3.516341228620898e-24
84,-164.86486486486487,-3.2038585406501242e-24,-164.86486486486487,-3.509803159277126e-24
85,-164.68468468468467,-3.197775345022838e-24,-164.68468468468467,-3.503268156210462e-24
86,-164.5045045045045,-3.1916956366462455e-24,-164.5045045045045,-3.496736234470149e-24
87,-164.32432432432432,-3.185619423331365e-24,-164.32432432432432,-3.490207408943212e-24
88,-164.14414414414415,-3.1795467128669287e-24,-164.14414414414415,-3.483681694358971e-24
89,-163.96396396396395,-3.1734775130197563e-24,-163.96396396396395,-3.477159105292898e-24
90,-163.78378378378378,-3.1674118315358857e-24,-163.78378378378378,-3.4706396561712235e-24
91,-163.6036036036036,-3.1613496761398194e-24,-163.6036036036036,-3.4641233612744175e-24
92,-163.42342342342343,-3.1552910545358413e-24,-163.42342342342343,-3.457610234741326e-24
93,-163.24324324324323,-3.149235974408393e-24,-163.24324324324323,-3.4511002905729326e-24
